,url,status,title,email,phone,address,copyright,norm_title,scraped_index,company_index,score,address1,city,postal_code,country,founding_date,name,company_number,phone_number,unique_id,norm_name
899,https://www.unlimitedpeople.nl/,200,Welkom - Unlimited People,mailto:office@unlimitedpeople.nl,tel://0031-70-7370392,,© Copyright - Unlimited People | Webdesign,welkom unlimited people,899,5392,82,Herenstraat 55 A,Voorburg,2271CB,NL,2019-01-01,Unlimited People B.V.,76725804,+31707370392,604377135,unlimited people
901,https://www.lowensteijn-it.com/,200,Lowensteijn IT – ICT Solutions,,,,,lowensteijn it ict solutions,901,125,65,Suikersilo-Oost 25,,1165MS,NL,2019-01-01,Coney Solutions B.V.,34218805,+31208519700,600700195,coney solutions
904,https://www.buursma.nl/,200,Buursma icl,,,,,buursma icl,904,1333,78,Westerstraat 18,Amsterdam,1015MJ,NL,1985-01-01,Buursma,34369096,+31206265038,600752152,buursma
905,https://maxcare.nl,200,| Maxcare ICT Services & Management | ,mailto:info@maxcare.nl,,,© Maxcare B.V.,maxcare ict services management,905,3854,67,Potmarge 34,Zwolle,8032LD,NL,2019-01-01,Loeffen Management Service,76098613,+31384530400,604306037,loeffen management service
906,https://dimarcocreators.nl,200,Dimarco Creators B.V.,,,,,dimarco creators,906,7686,100,Nieuwenhuizenweg 23,Leiden,2314XP,NL,2020-01-01,Dimarco Creators B.V.,77074807,+31715725601,604418855,dimarco creators
908,https://www.sbbbinnenafbouw.nl/,200,Homepage - SBB Binnenafbouw,mailto:info@sbbbinnenafbouw.nl,tel:033–2471030,open google maps,© SBB Binnenafbouw 2024,homepage sbb binnenafbouw,908,3141,78,drs. W. van Royenstraat 18,Hoevelaken,3871AN,NL,2011-01-01,Sbb Binnenafbouw B.V.,52557863,+31332471030,601276329,sbb binnenafbouw
909,https://lammerinkconstructiewerken.nl,200,"Lammerink Constructiewerken, allround las- & constructiebedrijf",mailto:info@lammerinkconstructiewerken.nl,tel:0546648610,,,lammerink constructiewerken allround las constructiebedrijf,909,1225,63,Lutkeberg 51,Geesteren OV,7678AJ,NL,2022-01-01,Lammerink Constructiewerken B.V.,63512254,+31546648610,602810657,lammerink constructiewerken
910,https://www.speelcadeau.nl/,200,"Stichting Speelcadeau, Speelgoedbank Eindhoven",,,,Privacyverklaring,stichting speelcadeau speelgoedbank eindhoven,910,4048,100,Grasbaan 138,Eindhoven,5658ER,NL,2016-01-01,"Stichting Speelcadeau, Speelgoedbank Eindhoven",67147305,,603243840,stichting speelcadeau speelgoedbank eindhoven
913,https://www.atlogistics.nl/,200,AT Logistics,mailto:info@atlogistics.nl,,,,at logistics,913,8317,100,Mierloseweg 244,Helmond,5707AV,NL,2019-01-01,At Logistics B.V.,74748114,+31850250084,604137372,at logistics
914,https://www.tandarts-oldebroek.nl/,200,Tandarts Oldebroek | Tandarts Oldebroek,,tel:0031525630121,,©2024 Tandarts Oldebroek B.V. | KVK 60519282 | Alle rechten voorbehouden.,tandarts oldebroek tandarts oldebroek,914,6198,65,Zuiderzeestraatweg 177,Oldebroek,8096BH,NL,2015-01-01,Tandarts Oldebroek B.V.,60519282,+31525630121,602450922,tandarts oldebroek
915,https://www.pearl-it.nl/,200,Pearl-IT – Business Solutions,,,,,pearlit business solutions,915,7629,78,Pelgrimsborch 4,Houten,3992BA,NL,2009-01-01,Noworries Business Solutions,30251647,,600394580,noworries business solutions
916,https://autobedrijfpetermink.nl,200,Home - Autobedrijf Peter Mink,,tel:0765654540,,© Copyright 2021 - Autobedrijf Peter Mink - 076 565 45 40,home autobedrijf peter mink,916,2038,90,Hoeksteen 5 A,Breda,4815PR,NL,2013-01-01,Autobedrijf Peter Mink B.V.,57919542,+31765654540,602136377,autobedrijf peter mink
917,https://www.heegadvocaten.nl/,200,Heeg Advocatuur & Mediation Advocaat Groningen,mailto:info@heegadvocatuur.nl,tel:0503121945,,,heeg advocatuur mediation advocaat groningen,917,8068,63,Geestbrugkade 35,Rijswijk ZH,2281CX,NL,2010-01-01,Batelaan Advocatuur & Mediation,51432633,,601132319,batelaan advocatuur mediation
919,https://www.rapio.nl/,200,Home | Rapio App,mailto:info@rapio.app,,,© 2023 by Rapio.,home rapio app,919,2339,64,Laakweg 29 L,'s-Gravenhage,2521SC,NL,2018-01-01,Sapphero,73037966,,603943764,sapphero
920,https://adept-zorg.nl,200,Home - Adept Zorg,mailto:info@adept-zorg.nl,tel:0332583519,,,home adept zorg,920,7348,80,Veenwal 15 A,Hoevelaken,3871KE,NL,2010-01-01,Adept Zorg,72184787,+31332583519,603841955,adept zorg
921,https://www.diamond-flowers.nl/,200,Diamond flowers V.O.F.,,,,© 2024 Diamond-flowers | Alle rechten voorbehouden.,diamond flowers vof,921,4911,100,Uilkerweg 1 A,Zuilichem,5305TD,NL,2016-01-01,Diamond Flowers V.O.F.,65068297,+31418700515,602995559,diamond flowers vof
922,https://flammbv.nl,200,Gereserveerd domein,,,,,gereserveerd domein,922,4480,61,Struikheide 9,Mariahout,5738CW,NL,2022-01-01,Van den Elzen Service,88413047,,605592193,den elzen service
924,https://cargologic.nl,200,Floralogic App,,,,,floralogic app,924,2663,58,Burg van Stamplein 248,Hoofddorp,2132BH,NL,2015-01-01,Cargologic B.V.,34131619,+31206368487,516124310,cargologic
925,https://inadmin.com/cgi-sys/suspendedpage.cgi,200,Contact Support,,,,,contact support,925,4488,77,Verl Hoogeveense Vaart 29,Zwinderen,7864TA,NL,1984-01-01,Avc Support,28041440,,520370961,avc support
928,https://henri-camps.nl,200,Juwelier Henri Camps Venray,,,,,juwelier henri camps venray,928,6996,86,Grotestraat 50,Venray,5801BH,NL,1996-01-01,Juwelier Henri Camps V.O.F.,12034370,+31478581261,600411553,juwelier henri camps vof
929,https://www.countvision.nl/,200,CountVision Full-service Advieskantoor in Laren,mailto:info@countvision.nl,,,,countvision fullservice advieskantoor laren,929,932,52,Blekersdijk 37,Dordrecht,3311LC,NL,1997-01-01,Advocatenkantoor Castelein,65544072,+31786140714,603052102,advocatenkantoor castelein
930,https://petsenco.nl,200,Pets&Co | Dé dierenspecialist,,,,© 2022,petsco dé dierenspecialist,930,5098,67,Vennipperhof 2,Hillegom,2181RT,NL,2011-01-01,Ton's Dierenspeciaalzaak,62655760,+31252867858,602706176,tons dierenspeciaalzaak
931,https://skyhighsales.nl,200,Skyhigh Sales - Acquisitie uitbesteden,mailto:info@skyhighsales.nl,tel:0174-725430,,© 2024 Skyhigh Sales,skyhigh sales acquisitie uitbesteden,931,9804,53,Nobelstraat 5 Bu7 Business,'s-Gravenzande,2693BC,NL,2023-01-01,Skyhigh Sales,89390032,+31174725430,605725669,skyhigh sales
932,https://www.bijzonderkadootje.nl,200,BIJZONDERKADOOTJE.NL - Bijzonderkadootje,,,,© 2008 - 2024 Bijzonderkadootje |,bijzonderkadootjenl bijzonderkadootje,932,569,63,Rijksweg 26,Ambt Delden,7495RJ,NL,2005-01-01,Bijzonderkadootje,08132978,,524680040,bijzonderkadootje
933,https://www.autoschadebrian.nl/,200,Home | Autoschade Brian,mailto:info@autoschadebrian.nl,,,© 2018 by Brian B.V.,home autoschade brian,933,3825,86,Het Aanleg 14,Winsum GN,9951SJ,NL,2006-01-01,Autoschade Brian B.V.,02070934,+31595571717,516476882,autoschade brian
935,https://www.janhooglandmechanisatie.nl/,200,Nieuw op voorraad - Jan Hoogland Mechanisatie - Joure / Sint Nicolaasga,,tel:+31513415308,,© 2024 Jan Hoogland Mechanisatie - Joure / Sint Nicolaasga /,nieuw voorraad jan hoogland mechanisatie joure sint nicolaasga,935,128,62,Handelswei 29,Joure,8501XJ,NL,2023-01-01,Jan Hoogland Mechanisatie V.O.F.,88846962,,605662122,jan hoogland mechanisatie vof
936,https://steamsave.nl,200,steamsave,mailto:info@steamsave.nl,,,"© steamsave,",steamsave,936,9713,100,Klimopstraat 5,Maasbracht,6051MW,NL,2019-01-01,Steamsave,74074407,,604067578,steamsave
937,https://www.zonnepanelenfriesland.nl/,200,Zonnepanelen Friesland | Van persoonlijk advies tot installatie,mailto:info@zonnepanelenfriesland.nl,tel:0513201249,,,zonnepanelen friesland persoonlijk advies installatie,937,2724,59,Het Meer 58 G,Heerenveen,8448GK,NL,2021-01-01,Zonnepanelen Friesland B.V.,82652066,+31513201249,604928453,zonnepanelen friesland
938,https://www.arenarum.nl/,200,Home - Arenarum Management,,,,© 2024 Arenarum Management - WordPress-thema door,home arenarum management,938,6709,68,Jan Evertsenstraat 729,Amsterdam,1061XZ,NL,2013-01-01,Beaumont Communicatie & Management B.V.,34181196,+31206649444,519124471,beaumont communicatie management
939,https://saanenarchitecten.nl,200,Home - Saanen Architecten,mailto:info@saanenarchitecten.nl,tel:0495820000,,© 2024 Saanen Architecten BV.,home saanen architecten,939,9680,88,Wilhelminasingel 145,Weert,6001GS,NL,2023-01-01,Saanen Architecten B.V.,17282746,+31495820000,600904106,saanen architecten
940,https://crossfit-scheveningen.nl,200,CrossFit Scheveningen,,,,,crossfit scheveningen,940,8151,91,Visafslagweg 50,'s-Gravenhage,2583DM,NL,2013-01-01,Crossfit Scheveningen V.O.F.,62446479,+31702055275,602681101,crossfit scheveningen vof
941,https://www.beachwest.nl/,200,Home – Beach West,mailto:info@beachwest.nl,tel:0181%20407%20524,,Copyright 2022 © All rights reserved Beach West,home beach west,941,53,80,2E Slag 7,Rockanje,3235CR,NL,2022-01-01,Beach West B.V.,88362825,+31181407524,605584036,beach west
942,https://www.gormanrupp.com/en/gorman-rupp,200,Gorman-Rupp Company,,,,"Copyright © 2024, All Rights Reserved.",gormanrupp company,942,3071,100,100 Rupp RD,Mansfield,44903,US,,Gorman-Rupp Company,,+1419-755-1245,946335613,gormanrupp company
943,https://marketmetals.nl,200,Market Metals,mailto:info@marketmetals.nl,tel:+31103130770,,,market metals,943,7063,100,George Stephensonweg 33,Vlaardingen,3133KJ,NL,2000-01-01,Market Metals B.V.,24306762,+31103130770,516714490,market metals
944,https://opbeeld.nl,200,opBEELD | Foto- en videografie van concept tot klik,mailto:henri@opbeeld.nl,tel:0636320505,,,opbeeld foto videografie concept klik,944,3054,53,H.A. Lorentzstraat 18,Papendrecht,3356BM,NL,2021-01-01,Opbeeld Videoproducties,83510257,,605034223,opbeeld videoproducties
945,https://holleman.nl,200,parket.net - WELKOM,,,,,parketnet welkom,945,4687,60,Botter 2,Lelystad,8232JJ,NL,2019-01-01,Parketwinkel.nl,74448056,,604111611,parketwinkelnl
946,https://adhosting.nl,200,AD Hosting - Uw hosting partner,mailto:support@adhosting.nl,,,Algemene bepalingen,ad hosting uw hosting partner,946,8596,62,Schiphol Boulevard 465 Floor 4Tower C,Luchthaven Schiphol,1118BK,NL,2016-01-01,Orion Managing Partners B.V.,65398688,,603026870,orion managing partners
947,https://profileproject.nl,200,Projectinrichting | Profile Project kantoorinrichting en advies,mailto:info@profileproject.nl,tel:+31%2070 390 95 90,,,projectinrichting profile project kantoorinrichting advies,947,8720,58,Vinkenbuurt 8,Oudewater,3421SW,NL,1976-01-01,Stichting Centrale Antenne-Inrichting Oudewater,41177016,,523008952,stichting centrale antenneinrichting oudewater
948,https://www.voormijnkleintje.nl/,200,Online magazine voor nuchtere ouders | Voormijnkleintje.nl,,,,,online magazine nuchtere ouders voormijnkleintjenl,948,1495,49,Vliedbergstraat 12,Rilland,4411AJ,NL,2010-01-01,Stichting Vrienden van de Vliedberg,51466104,,601136420,stichting vrienden vliedberg
949,https://www.softwarestartups.com/,200,SoftwareStartups,mailto:info@softwarestartups.com,tel:+31638237286,,SoftwareStartups © 2024,softwarestartups,949,3572,75,Kamerlingh Onnesstraat 34,Almere,1341BX,NL,2016-01-01,De Software Testers B.V.,75647427,,604251142,software testers
950,https://www.athrty-amsterdam.com/,200,ATHRTY Amsterdam | Luxury Minimalistic Streetwear Design,,,,Copyright 2024 ©,athrty amsterdam luxury minimalistic streetwear design,950,6569,54,Maria Austriastraat 58,Amsterdam,1087CN,NL,2018-01-01,Muller Garden Life Amsterdam B.V.,33262737,+31204904220,529895793,muller garden life amsterdam
951,https://magicmountain.nl,200,Magic Mountain – Publishing Services in Internet Tijdperk,,,,,magic mountain publishing services internet tijdperk,951,640,53,Luitje Broekemastraat 56,Purmerend,1447GD,NL,2013-01-01,Westervink Internetservices,58665196,,602227311,westervink internetservices
953,https://www.combivloeren.nl/,200,Combivloeren,,,,,combivloeren,953,5819,100,Kryptonstraat 27,Rijssen,7463PB,NL,1978-01-01,Combi-Vloeren B.V.,06043595,+31548518116,514602842,combivloeren
954,https://www.nhghoreca.nl/,200,Home - NHG horeca Topevents,mailto:info@nhgbreda.nl,tel:+31767640650,,Copyright All Rights Reserved © 2018 |,home nhg horeca topevents,954,9099,53,Wassinkbrinkweg 2,Doetinchem,7002ZD,NL,2021-01-01,G.A. Steentjes Holding B.V.,82918473,,604957591,ga steentjes holding
955,https://vanhaaftenfruit.nl,200,"Van Haaften Fruit - Home               
    ",,,,,haaften fruit home,955,4507,84,Bommelweg 26,Wadenoijen,4014PW,NL,2014-01-01,Van Haaften Fruit B.V.,60983620,+31344662211,602505940,haaften fruit
957,https://www.walviscg.nl/home/?no_cache=1,200,Praktisch Kwaliteitsmanagement voor Zorg en Welzijn | Walvis,mailto:info@walviscg.nl,,,,praktisch kwaliteitsmanagement zorg welzijn walvis,957,8452,55,Reitseplein 1,Tilburg,5037AA,NL,2000-01-01,Stichting Facility Management Bzw,18060372,,601035101,stichting facility management bzw
958,https://www.dietistindra.nl/,200,Diëtist Indra - Home,mailto:indra@dietistindra.nl,tel:0624289998,,,diëtist indra home,958,9912,60,Boargemaster Dukerstraat 34,Sexbierum,8855CZ,NL,1998-01-01,Meindert van Dijk,01080027,+31517592262,513253896,meindert dijk
963,https://vanej.nl,200,"
		vanej.nl
	",,,,,vanejnl,963,4400,83,Dijkstoellaan 16,Elst Gld,6661ML,NL,2023-01-01,Vanej B.V.,89710134,,605749432,vanej
966,https://www.falico.nl/,200,Falico.nl,,,,© 2024 - Falico behoud allerechte van de website,faliconl,966,2550,77,Weitzelweg 8,Vriezenveen,7671EJ,NL,1988-01-01,Falco B.V.,06042011,+31546554444,514592068,falco
968,https://jsmedemblik.com,200,"Jongkind Service Medemblik | Kennis, ervaring en service",mailto:info@jsmedemblik.com,,,,jongkind service medemblik kennis ervaring service,968,1427,52,Flevostraat 174,Purmerend,1442PZ,NL,2000-01-01,Rvservice Allround Lastechniek,34130885,+31299666839,515928355,rvservice allround lastechniek
971,https://www.q-dance.com/,200,Q-dance,,,,,qdance,971,5516,100,Isolatorweg 36,Amsterdam,1014AS,NL,2023-01-01,Q-Dance B.V.,34212891,+31204877300,523948709,qdance
977,https://www.crooning.nl/,200,Crooning,,,,© 2020 - 2024 Crooning,crooning,977,1137,67,Josef Israelshof 15,Oosterhout NB,4907PT,NL,2001-01-01,De Opening,18064540,+31168481717,517825758,opening
979,https://yourparcelpartner.nl,200,Welcome!,,,,,welcome,979,1279,67,Reigerbosweg 18,Waalwijk,5144MA,NL,1999-01-01,Werco B.V.,18121928,+31416336273,520535847,werco
980,https://wurkz-ts.nl,200,Wurkz Technical Services,,,,Copyright © 2024 Wurkz Technical Services - Alle rechten voorbehouden,wurkz technical services,980,8952,100,Nieuwstad 7,Burgum,9251LN,NL,2003-01-01,Wurkz Technical Services B.V.,34187568,,519584303,wurkz technical services
981,https://www.ploegam.nl/,200,Ploegam,mailto:info@ploegam.nl,tel:0412455450,,,ploegam,981,6702,100,Vinkelsestraat 70 A,Vinkel,5383KM,NL,1997-01-01,Ploegam B.V.,16052595,+31412455450,521819370,ploegam
982,https://wheeltrading.nl,200,Wheel Trading - Home,mailto:info@wheeltrading.nl,tel:+31795933134,,,wheel trading home,982,7582,84,Noordeinde 57,Zevenhuizen ZH,2761BR,NL,2002-01-01,Wheel Trading B.V.,24298418,+31795933134,515531985,wheel trading
983,https://www.ladicha.nl/,200,La Dicha Webbeheer – Gratis websitescan voor online ondernemers,mailto:tamara@ladicha.nl,,,Copyright © 2011 - 2024 La Dicha Webbeheer,la dicha webbeheer gratis websitescan online ondernemers,983,3738,53,Vlissingsestraat 118,Oost-Souburg,4388HG,NL,1995-01-01,Regionale Afdeling Zeeland van de Koninklijke Vereniging Federatie van Ondernemers in de S,40311351,,522014198,regionale afdeling zeeland koninklijke vereniging federatie ondernemers s
985,https://dehuischmeesters.nl,200,De Huischmeesters | Meer dan sociaal-maatschappelijk beheer,,,,,huischmeesters meer sociaalmaatschappelijk beheer,985,376,58,Nonnenveld 54,Gorinchem,4201AR,NL,1931-01-01,Houdstermaatschappij A.T. Bikker Beheer B.V.,23008631,+31183513906,516275314,houdstermaatschappij at bikker beheer
986,https://kokeninrotterdam.nl,200,Kookstudio Rotterdam - Koken in Rotterdam,,,,© Alle rechten voorbehouden |,kookstudio rotterdam koken rotterdam,986,2541,84,Hoogstraat 21 A,Rotterdam,3011PD,NL,2002-01-01,Kookstudio Koken in Rotterdam,24334472,+31102409114,518535390,kookstudio koken rotterdam
988,https://www.djoprissa.com/,200,Djoprissa B.V. – Financiële Administratie & Interim Professionals,,,,"Copyright 2024 © DJOPRISSA B.V. - Wibautstraat 17, 3601 XE Maarssen",djoprissa financiële administratie interim professionals,988,9812,61,Tappersweg 8 G,Haarlem,2031ET,NL,2007-01-01,Comak Administratie & Fiscaliteiten V.O.F.,81470037,+31238200200,604793986,comak administratie fiscaliteiten vof
990,https://vg-bouw.nl,200,"
		vg-bouw.nl
	",,,,,vgbouwnl,990,531,75,Bornissestraat 2,Rotterdam,3044AE,NL,2011-01-01,Bouwaf.nl B.V.,52063313,,601218816,bouwafnl
991,https://www.berghvastgoedenontwikkeling.nl/home,200, - Bergh Vastgoed en Ontwikkeling,mailto:info@berghvastgoedenontwikkeling.nl,tel:0164271030,,© 2024 Bergh Vastgoed,bergh vastgoed ontwikkeling,991,8883,73,Burgemeester Viezeelaan 17,Streefkerk,2959CM,NL,2015-01-01,Boer Ontwikkeling B.V.,63381087,+31184681884,602793034,boer ontwikkeling
992,https://www.wereldbeleving.nl/,200,Wereldbeleving | VR almere,mailto:info@mysite.com,tel:123-456-7890,,© 2024 by Wereldbeleving. KVK 87488914,wereldbeleving vr almere,992,548,74,De Steiger 77 19B,Almere,1351AE,NL,2022-01-01,Wereldbeleving,87488914,,605501907,wereldbeleving
993,https://www.atelierralph.nl/,200,Atelier Ralph in Grave,mailto:info@atelierralph.nl,,,© Alle rechten voorbehouden aan Atelier Ralph.,atelier ralph grave,993,7363,81,Klinkerstraat 22 A,Grave,5361GW,NL,2020-01-01,Atelier Ralph,77980476,+31486473058,604525961,atelier ralph
994,https://kuilmanmeesterschilders.nl,200,Kuilman meesterschilders,,,,,kuilman meesterschilders,994,588,100,Kerkweg 11,Limmen,1906AT,NL,1937-01-01,Kuilman Meesterschilders,62641816,+31725051431,602703796,kuilman meesterschilders
995,https://beton-lab.com,200,Home - Beton-Lab,,,,© 2024 Beton-Lab | All rights reserved|,home betonlab,995,39,61,Gasthuisvest 7 A,Haarlem,2011ET,NL,2019-01-01,Beter-Label,76477487,,604351996,beterlabel
998,https://www.rowit.nl/,200,Rowit Spuitcabines Rowit Spuitkabines - Alles maatwerk,mailto:info@rowit.nl,tel:0310383315648,,Copyright © Rowit,rowit spuitcabines rowit spuitkabines alles maatwerk,998,4008,56,Ertsstraat 6,Kampen,8263BN,NL,2000-01-01,Rowit Spuitkabines Kampen Holland B.V.,05056375,+31383315648,514624769,rowit spuitkabines kampen holland
1002,https://www.janwit.nl/,200,"Jan Wit | Rookgasafvoer, Ventilatie, Dak & Geveldoorvoer",mailto:?subject=Check%20this%20https://www.janwit.nl/cv-ketel-of-warmtepomp-wat-kies-je/,tel:0725112209,,© 2024 ,jan wit rookgasafvoer ventilatie dak geveldoorvoer,1002,252,48,Meierijlaan 31,Kaatsheuvel,5171ZN,NL,2022-01-01,Groen Ventilatie,87524961,,605507174,groen ventilatie
1004,https://cosmoconsultancy.nl,200,"
		cosmoconsultancy.nl
	",,,,,cosmoconsultancynl,1004,7980,77,Lage Startwijk 2,Beugen,5835CB,NL,2009-01-01,Mv-Consultancy B.V.,17199900,,520733502,mvconsultancy
1006,https://www.digitalsonline.nl/pagina/p/0/home.html,200,DigitalsOnline,,,,© 2004-2024 DigitalsOnline,digitalsonline,1006,9638,97,Korenpad 1 Unit 2,Nijmegen,6534AS,NL,2019-01-01,Digitals Online B.V.,74460862,+31248449903,604100158,digitals online
1008,https://datatrippers.com,200,Data Trippers,,,, © 2014 Data Trippers,data trippers,1008,4976,100,Visseringstraat 53,Amsterdam,1051MG,NL,2021-01-01,Data Trippers B.V.,77819268,+31202612534,604506576,data trippers
1009,https://jegereclame.nl,200,Secured Home of jegereclame.nl,,,,,secured home of jegereclamenl,1009,4070,62,Seelenstraat 6,Weert,6004RL,NL,2010-01-01,Jegereclame.nl,14132218,+31495539785,600943346,jegereclamenl
1010,https://www.be-retail.nl/,200,Be Retail Vastgoedadvies,mailto:info@be-retail.nl,,,© 2024 Be Retail |,be retail vastgoedadvies,1010,2349,65,Industriestraat 12,Dinxperlo,7091DC,NL,2010-01-01,J2M Retail Services,77024346,+31315346027,604412664,j2m retail services
1012,https://www.aml-vastgoed.nl/,200,AML Vastgoed BV,,,,© 2024 by AML Vastgoed BV,aml vastgoed,1012,4597,100,Van de Spiegelstraat 12,'s-Gravenhage,2518ET,NL,2016-01-01,Aml Vastgoed B.V.,66414679,+31703300210,603144450,aml vastgoed
1013,https://www.nexxtindustry.com/,200,eMobility Marketing Agency | Nexxt Industry,mailto:hello@nexxtindustry.com?subject=Say%20Hello,tel:+31850601311,,© 2024 Nexxt Industry B.V.,emobility marketing agency nexxt industry,1013,791,51,Lookhof 22,Angeren,6687DD,NL,2021-01-01,Nexxt Industry B.V.,82970742,+31850601311,604964757,nexxt industry
1014,https://yellowspot.nl,200,Yellowspot,mailto:info@yellowspot.nl,,,,yellowspot,1014,4432,100,Verlengde Zuiderloswal 6,Hilversum,1216BX,NL,1997-01-01,Yellowspot B.V.,32064878,+31356773910,497759525,yellowspot
1015,https://breakinghabits.nl,200,Breaking Habits | Welkom,,tel:+31615154737,,© 2024 Breaking Habits. Alle rechten voorbehouden. |,breaking habits welkom,1015,4901,81,Grebbeberglaan 15,Utrecht,3527VX,NL,2018-01-01,Breaking Habits B.V.,70762104,,603662984,breaking habits
1016,https://www.medsync.nl/,200,MedSync | Wij helpen zorgorganisaties kosten te besparen!,,,,,medsync helpen zorgorganisaties kosten besparen,1016,3895,52,Piet Heinweg 5,Nijverdal,7441GZ,NL,2005-01-01,Heerdink Miniatuur Organisatie,08130579,+31548624464,524318233,heerdink miniatuur organisatie
1019,https://karman-online.nl,200,"
        Home | 
        Karman-Online
      ",mailto:info@Karman-Online.nl,,,Copyright © Sedu-Internet.com,home karmanonline,1019,1911,83,Deventerweg 82,Holten,7451MB,NL,2013-01-01,Karman-Online,56760655,+31548362890,601990781,karmanonline
1020,https://www.tandartspraktijkexcellentia.nl/,200,Tandartspraktijk Excellentia – Tandartspraktijk,,,,,tandartspraktijk excellentia tandartspraktijk,1020,3458,77,Hertenstraat 25,Zwolle,8011GR,NL,2021-01-01,Tandartspraktijk Excellentia,81854137,+31384227619,604838764,tandartspraktijk excellentia
1021,https://www.meetinholland.nl/,200,Meetbedrijf voor in het spoor - Meet In Holland,mailto:info@meetinholland.nl,tel:+310348470146,,© 2024 - Meet In Holland,meetbedrijf spoor meet holland,1021,4382,67,Heetpasweg 13,Haaksbergen,7482CD,NL,1997-01-01,Metselbedrijf Hollink B.V.,06020776,+31743575501,514512569,metselbedrijf hollink
1023,https://benschopinstallatietechniek.nl,200,Welkom bij Benschop Installatietechniek,,,,,welkom benschop installatietechniek,1023,1251,89,Dorp 284,Benschop,3405BL,NL,1999-01-01,Benschop Installatietechniek B.V.,30156755,+31348451236,514806207,benschop installatietechniek
1024,https://hannamax.nl,200,Hannamax,mailto:info@hannamax.nl,,,HANNAMAX B.V. © 2024 |,hannamax,1024,7226,100,Kronenburgpark 5,Hedel,5321JM,NL,2004-01-01,Hannamax B.V.,11058933,+31735995536,523554722,hannamax
1027,https://www.installatietechniekgresnigt.nl/,200,Jong & dynamischinstallatiebedrijf - Installatietechniek Gresnigt,mailto:info@installatietechniekgresnigt.nl,tel:0172523060,,© 2024 - Installatietechniek Gresnigt,jong dynamischinstallatiebedrijf installatietechniek gresnigt,1027,3845,63,Industrieweg 8,Nieuwkoop,2421LJ,NL,2015-01-01,Installatietechniek Gresnigt B.V.,62527592,+31172523060,602690076,installatietechniek gresnigt
1029,https://www.vdsnoek.nl/,200,Uw vastgoed weer duurzaam de toekomst in | Vandersnoek,mailto:info@vdsnoek.nl,tel:0172445541,,©2024 vandersnoek,uw vastgoed duurzaam toekomst vandersnoek,1029,8457,54,Lamsrustlaan 14,Rotterdam,3054VG,NL,2023-01-01,Tandenhof Vastgoed B.V.,90445112,,605841044,tandenhof vastgoed
1030,http://www.everswagenbouw.nl/,200,Home | Evers Wagenbouw,mailto:info@everswagenbouw.nl,,,©,home evers wagenbouw,1030,9049,86,Klinkerstraat 99,'s-Heerenberg,7041BA,NL,2003-01-01,Evers Wagenbouw B.V.,31026726,+31332982786,519241122,evers wagenbouw
1031,https://boss-it.nl,200,ID-Est IT,,,,,idest it,1031,644,77,Raadhuisweg 175,Reeuwijk,2811KA,NL,2016-01-01,Ids-It B.V.,65483871,+31850656274,603040082,idsit
1034,https://secrans.nl,200,Secrans – Advies & Coaching,mailto:mail@secrans.nl,,,© 2024 Secrans Advies & Coaching | Website door Bureau BvW,secrans advies coaching,1034,7860,79,Vikingstraat 8,Zuid-Beijerland,3284BG,NL,2023-01-01,Iris Pons Coaching & Advies,90995988,,605905829,iris pons coaching advies
1036,https://netmask.nl,200,H - Netmask,mailto:info@netmask.nl,,,,h netmask,1036,8123,88,Strevelsweg 700 Unit 309,Rotterdam,3083AS,NL,2002-01-01,Netmask B.V.,24335421,+31102930975,518635726,netmask
1039,https://www.stickerwinkel.com/,200,Stickers bestellen en kopen,mailto:info@stickerwinkel.com,tel:+31403686425,,,stickers bestellen kopen,1039,8745,68,Bos en Lommerweg 174 1,Amsterdam,1055EG,NL,1995-01-01,Toeters en Bellen,40538857,+31104771488,522288644,toeters bellen
1041,https://advb.nl,200,advb.nl,,,,,advbnl,1041,8148,60,Alexander Battalaan 40,Maastricht,6221CE,NL,1998-01-01,Advo B.V.,14058198,+31433260315,513803074,advo
1044,https://mtpt.nl,200,Mireille Personal Coach,mailto:mdtjok_a_hen@hotmail.com,,,,mireille personal coach,1044,6564,69,Cyclotronweg 43,Delft,2629HN,NL,2012-01-01,Mifit Personal Sport Coaching,66369452,,603152210,mifit personal sport coaching
1050,https://grip.health,200,Grip – Home,mailto:support@roqua.nl,,,,grip home,1050,9369,67,Nieuwe Ommoordseweg 5,Rotterdam,3068BS,NL,2021-01-01,Grafidome,81955413,,604852378,grafidome
1053,https://wonen35.nl,200,"
      Wonen35
",,,,"© 2024,",wonen35,1053,4232,71,Koestraat 143,Tilburg,5014EC,NL,2012-01-01,Wonen-013.nl,54184851,+31132600311,601498827,wonen013nl
1055,https://southwestgrowers.nl/,200,Home | South West Growers,,,,,home south west growers,1055,9583,59,Korte Veenteweg 13 C 2E Verdiep,Epe,8161PC,NL,2009-01-01,Homeopathie Voor Mens en Dier,37148366,,600434949,homeopathie mens dier
1057,https://www.azzonwering.nl/,200,"
			A.Z. Zonwering – Voor uw buitenzonwering en raamdecoratie van A tot Z		",,tel:+31105910716,,A.Z. Zonwering Montage | Copyright © 2024| Website door Westland Software Solutions,az zonwering uw buitenzonwering raamdecoratie a z,1057,6373,48,Van Tijenstraat 38,Delft,2628ZM,NL,2023-01-01,Bongers Management & Ontwikkeling,90584287,,605868170,bongers management ontwikkeling
