"address1","city","postal_code","country","founding_date","name","company_number","phone_number","unique_id"
"Berenkoog 51 D","Alkmaar","1822BN","NL","2020-01-01","Gca Reclame B.V.","77737962","+31725612275","0604496973"
"Den Heuvel 9","Oirschot","5688EM","NL","2009-01-01","Rinus van Beers B.V.","17258189","+31499571353","0600607218"
"Rederijweg 17 -19","Oosterhout NB","4906CX","NL","2015-01-01","Kent Foods B.V.","64666786","+31162748194","0602940360"
"Bark 35","Barendrecht","2991JA","NL","2022-01-01","Calame Vastgoedonderhoud","86325078","","0605356311"
"Elandstraat 112","Capelle aan den IJssel","2901BK","NL","1970-01-01","J.A. Hompus","24114917","+31104421400","0516526328"
"Piet Mondriaanstraat 10","Deurne","5753DJ","NL","2010-01-01","L.J.P. van Dijk Beheer B.V.","50106597","+31493341634","0600969715"
"Mercuriusweg 12 B","Schiedam","3113AR","NL","2021-01-01","Arimar B.V.","24372426","+31102040250","0524496815"
"Okkerlust 5","Veere","4351SM","NL","2012-01-01","Vereniging Vesting Veere","55292666","","0601635227"
"Feike de Boerlaan 95","Amsterdam","1019KV","NL","1990-01-01","Genee","34377674","","0600824422"
"De Gouwe 34 C","Dronten","8253PA","NL","2023-01-01","Autobedrijf van Wijngaarden","91558506","","0605979193"
"Bietenakker 39","Wezep","8091MC","NL","2021-01-01","Bloemenatelier de Tuinkamer","83728309","+31383765819","0605059521"
"Weerdskampweg 9","'s-Hertogenbosch","5222BA","NL","2018-01-01","Offground Ventures B.V.","73221317","","0603960268"
"Pomphuislaan 49","Ede Gld","6717ZK","NL","2020-01-01","Doggy Time","77416422","","0604459521"
"Zaventembaan 1","Rotterdam","3045AR","NL","1963-01-01","Vliegclub Rotterdam","40343465","+31104153353","0522051687"
"Veemarktkade 21","'s-Hertogenbosch","5222AE","NL","2001-01-01","Vitelco B.V.","16016191","+31736242060","0515523789"
"De Brink 788","'s-Gravenhage","2553HP","NL","2018-01-01","M. Bakker Onderhoudsbedrijf","71599479","","0603772812"
"Boeingavenue 301 F","Schiphol-Rijk","1119PD","NL","2016-01-01","Nle-Tech B.V.","65436709","+31206152770","0603032677"
"Trashorst 79","Doetinchem","7009LB","NL","2007-01-01","Mvk Montage","09166161","+31314844462","0520660838"
"Luitje Broekemastraat 56","Purmerend","1447GD","NL","2013-01-01","Westervink Internetservices","58665196","","0602227311"
"Urkersingel 12 A","Rotterdam","3083SV","NL","2005-01-01","J. Eijlander","24492679","","0600919231"
"Edisonstraat 10","Zevenaar","6902PK","NL","2023-01-01","Kamps de Wild B.V.","09003545","+31316369111","0513322952"
"Nachtegaallaan 2","Beek en Donk","5741KC","NL","2020-01-01","Many More","77478975","","0604467024"
"Raadhuisweg 175","Reeuwijk","2811KA","NL","2016-01-01","Ids-It B.V.","65483871","+31850656274","0603040082"
"Pietersweg 1","'s-Gravenpolder","4431RE","NL","2022-01-01","Magdalenahoeve B.V.","85938165","+31113311675","0605318148"
"Steeghsweg 8","Meijel","5768PT","NL","2020-01-01","Tuurlijk! B.V.","66165881","","0603119740"
"Oude Nijkerkerweg 48","Putten","3882MC","NL","2005-01-01","Henk Vliek Technische Service B.V.","08086087","","0515461562"
"Pausgang 4","Groningen","9712EZ","NL","1989-01-01","Jaap Kraayenhof / Fine Woodworking","02045908","","0524061184"
"Veembroederhof 352","Amsterdam","1019HC","NL","2018-01-01","Vepono","72840390","","0603920907"
"Dijkweideweg 12","Wilp Gld","7384BS","NL","2009-01-01","Basta Consulting V.O.F.","52210650","","0601237333"
"Wageningselaan 24","Veenendaal","3903LA","NL","2020-01-01","Weegbaas B.V.","77771397","+31318701319","0604500473"
"Runnenbergweg 31","Vaassen","8171MC","NL","1991-01-01","Droste B.V.","08072078","+31578578200","0526573700"
"Zuidhoven 13","Roermond","6042PB","NL","2011-01-01","Sanimania B.V.","14128750","+31475690085","0600838909"
"Pagnevaartweg 83","Oudenbosch","4731AC","NL","2022-01-01","Teddies Trimsalon","85672173","","0605287016"
"Wim Duisenbergplantsoen 31","Maastricht","6221SE","NL","2019-01-01","Busio Interiors B.V.","75912120","","0604273164"
"Transformatorstraat 9","Veenendaal","3903LT","NL","1992-01-01","Runetech B.V.","30125565","+31318522252","0526975046"
"Prinses Marijkestraat 12","Neede","7161CS","NL","2021-01-01","Kinkelder Machines","84002271","","0605094119"
"Prins Clausstraat 7","Waarder","3466LJ","NL","2023-01-01","Vbh Bechis Boll","89603621","","0605751639"
"Van Limburg Stirumstraat 48","Noordwijk ZH","2201JP","NL","2012-01-01","Stichting Kringloop Noordwijk en Noordwijkerhout","54670160","+31718895622","0601556300"
"Wijk 1 16 A","Urk","8321EK","NL","2016-01-01","Stichting Eendracht Maakt Kracht","66444322","","0603161722"
"St Odastraat 17","Eindhoven","5614AL","NL","2012-01-01","Psychotherapiepraktijk Jacqueline Rutten","55798578","+31402443680","0601693452"
"Hofje van Holtlant 40","Leiderdorp","2352GE","NL","2011-01-01","Roze Draakjes","51675609","+31715233866","0601160366"
"Helperpark 284 2","Groningen","9723ZA","NL","2012-01-01","Recras B.V.","56472706","+31502112222","0601959994"
"Nieuwstraat 82","Son en Breugel","5691AE","NL","2008-01-01","Werner Leermakers Architectuur","17232479","+31499479413","0600307114"
"Schiedamsedijk 41 B","Rotterdam","3011ED","NL","2020-01-01","Inspire Participaties B.V.","77575695","","0604481388"
"Stoomstraat 1","Kampen","8263AT","NL","2023-01-01","Aktieshirts B.V.","90681207","+31384604412","0605864750"
"Het Eeftink 11  1","Enschede","7541WH","NL","2011-01-01","Kwakman-Van Ommen","51851350","+31534770545","0601181258"
"Konijnenberg 98","Breda","4825BE","NL","2018-01-01","Picolet Electronics","72792558","","0603914973"
"Houtsestraat 7","Balgoij","6613AC","NL","2020-01-01","Hrd Professionals B.V.","77711661","","0604493892"
"Tradeboulevard 5 A","Zevenbergen","4761RL","NL","2019-01-01","Polvo B.V.","20130799","+31887651900","0498261023"
"st. Jacobslaan 51","Nijmegen","6533BP","NL","2016-01-01","Ibericode B.V.","65413741","","0603027027"
"Vesting 25","Vijfhuizen","2141MD","NL","2022-01-01","Singh C.V. en Loodgietersbedrijf","85053279","","0605216709"
"Willem van Oranjelaan 38 A","Breda","4837AL","NL","2007-01-01","Fsp Mobile B.V.","20135404","","0527074692"
"Jacob Marisstraat 16","Bergen LB","5854ET","NL","1986-01-01","Stichting Ontwikkelingssamenwerking (Der) Gemeente Bergen (Limburg)","41063451","","0522611225"
"Baggelhuizen 2 B","Assen","9405VD","NL","2018-01-01","Stichting Hippisch Terra","70863121","","0603690723"
"Langendijk 3 A","Baak","7223KE","NL","1991-01-01","Universal Lens B.V.","09070592","+31263544444","0525693738"
"Roggeveld 28","Veenendaal","3902EE","NL","2014-01-01","Kamerbeek Dienstverlening","59737271","+31318543554","0602401394"
"Bedrijfsweg 14","Leusden","3831KE","NL","2018-01-01","Bouwbedrijf Hertzinger B.V.","32115916","+31334343030","0525775564"
"Zuid Willemsvaart 241 B","'s-Hertogenbosch","5211SH","NL","2022-01-01","Bijthijs","85765325","","0605297952"
"Voltastraat 21 B","Barneveld","3771RX","NL","2010-01-01","JK Natuursteen V.O.F.","08223922","","0600902267"
"Kukhernewei 11","Feanwalden","9269RE","NL","2006-01-01","Postma Infraservice","01112837","","0497911642"
"Castertweg 38","Weert","6005PM","NL","2006-01-01","Briels Mechatronix","12063414","+31495563450","0520180373"
"Karel Doormanstraat 81","Rotterdam","3012GD","NL","2016-01-01","Verkade-Veninga Holding B.V.","65708970","","0603070618"
"Jan van Krimpenweg 7 P","Haarlem","2031CE","NL","2023-01-01","W.A.D.W. B.V.","34177195","+31204711734","0518855704"
"Vreedenburgh 5","Laren NH","1251SH","NL","2009-01-01","Hanneke Setz","01150302","","0600500067"
"Tuurkesweg 3","Weert","6006SG","NL","1979-01-01","Stichting Scouting Kardinaal Mindszenty","41066526","+31495525652","0522620762"
"Raadhuisplein 6","Berlicum NB","5258BJ","NL","2002-01-01","Experientis B.V.","17133080","+31735039340","0517168207"
"Molenstraat 140 A","Ede Gld","6711AX","NL","2022-01-01","2Be IT B.V.","86344129","+31318763763","0605358361"
"Waterlelie 56","Gouda","2804PW","NL","2019-01-01","MI Esencia","75357666","","0604218714"
"Kanaaldijk 32 A","Waddinxveen","2741PA","NL","2012-01-01","Alpha Lateien V.O.F.","72584025","","0603891280"
"Papenlantstraat 21","Goirle","5051BJ","NL","2008-01-01","Stichting Souvenir Muziektheaterproducties","17222629","","0600189139"
"Lindeweg 7","Zwijndrecht","3334LA","NL","2016-01-01","Natuurlijk Wijn","65883195","","0603091044"
"Wildforster 157","Ede Gld","6713KD","NL","2021-01-01","Doll op Oma Heidi","82831319","","0604954169"
"Gaffeldwarsstraat 24","Rotterdam","3014RR","NL","2022-01-01","Bosztechniek","84925450","","0605205319"
"Tweede Jan Steenstraat 51 H","Amsterdam","1074CK","NL","2024-01-01","Four Leaves B.V.","73163678","","0603953362"
"Hazzeleger 1","Beetsterzwaag","9244EP","NL","2006-01-01","B.I.F. de Groot, Tandarts","01175834","","0600847087"
"Nieuwe Aamsestraat 30","Elst Gld","6662ND","NL","2009-01-01","Romein Bestrating B.V.","09199830","+31481841488","0600565274"
"Einsteinlaan 114","Apeldoorn","7316GG","NL","2004-01-01","Vereniging van Eigenaars Langstraat 22 en 24 te Wijhe","83100326","","0604986689"
"Lange Reksestraat 17","Terneuzen","4538AZ","NL","2020-01-01","Topvorm Prefab B.V.","22061972","+31115683270","0520221599"
"Jan Evertsenlaan 275","Voorschoten","2253XC","NL","2022-01-01","Fast&Fair Services","86042076","","0605329953"
"Van der Hoopstraat 18","Krimpen aan den IJssel","2921LR","NL","1996-01-01","De Boom Bouw B.V.","29044113","+31180330000","0530976898"
"Herenstraat 35","Utrecht","3512KB","NL","2010-01-01","Crowdaboutnow B.V.","30286818","","0600927750"
"Tingietersweg 133","Haarlem","2031ER","NL","1999-01-01","Triumvir V.O.F.","37084709","+31233030578","0515851317"
"Groot-Zuideveld 152","Dussen","4271CD","NL","2015-01-01","Praktijk Bijzonder","62210114","","0602653148"
"Van Burenlaan 17 A","Soest","3761BZ","NL","1998-01-01","Intermedzo B.V.","24285241","+31356566201","0513901975"
"Kerkelandenlaan 3 N","Hilversum","1216RN","NL","2022-01-01","Huisartsenpraktijk de Appel","85158534","+31356216343","0605228155"
"Weerlaan 11","Hillegom","2181HG","NL","2022-01-01","Squash Hillegom B.V.","28023488","+31252519766","0517154111"
"Kostverlorenstraat 905","Weesp","1382DC","NL","2023-01-01","Het Backhuys B.V.","90520483","","0605849423"
"Van Coulsterweg 1 B","Alblasserdam","2952CB","NL","2010-01-01","A.S. Alblasserdams Schoonmaakbedrijf B.V.","50168037","","0600976458"
"Plesmanstraat 1","Veenendaal","3905KZ","NL","2010-01-01","Bestcamp Holding B.V.","50397389","+31708900620","0601001975"
"Gasselstraat 4","'s-Hertogenbosch","5211KJ","NL","2016-01-01","Colorbar Hairsalon","67294324","+31737852510","0603260057"
"Tinus van der Sijdestr 27","Sprang-Capelle","5161CD","NL","2014-01-01","Tegelprojecten B.V.","57410917","+31416284450","0602072477"
"Buitenweg 8","Maarssen","3602PS","NL","2001-01-01","Mansol Services B.V.","23090572","+31346550772","0514148913"
"Misterstraat 42","Winterswijk","7101EX","NL","2021-01-01","Bob & Candy","83430652","+31543517775","0605025548"
"Strawinskylaan 3127","Amsterdam","1077ZX","NL","2011-01-01","Act Commodities B.V.","27336523","+31208911780","0600432332"
"Andoornstraat 8 4","Arnhem","6841BG","NL","2022-01-01","Soussi Diensten","87926911","","0605552436"
"IJdk 4","Spaarndam","2063JT","NL","2020-01-01","Garage Spaarndam B.V.","60380888","+31235370899","0602429159"
"De Wiel 3","Sliedrecht","3361TA","NL","2013-01-01","Wbad","57380848","+31184420859","0602059852"
"Heesterseweg 43","Geffen","5386KT","NL","2017-01-01","Hanegraaf Geffen B.V.","69078823","+31735322001","0603465952"
"Van Heemstraweg 69","Beneden Leeuwen","6658KG","NL","2000-01-01","Sano B.V.","10024187","+31487592302","0515075798"
"Jacob Marisstraat 156","'s-Gravenhage","2526AX","NL","2019-01-01","BA","75177927","","0604198999"
"De Frisia 75","Drachten","9207CP","NL","2021-01-01","Green-Movement Installatietechniek","84857838","+31850073060","0605198451"
"Viermasterstraat 93","Amsterdam","1034XP","NL","2020-01-01","Assenshiacare","81271964","","0604770768"
"Bernardus Gewinstraat 28 D","Rotterdam","3031SG","NL","2020-01-01","J. Kozub Holding B.V.","77642015","","0604486148"
"Louis Beelstraat 65","Herten","6049HS","NL","2010-01-01","Elvebe B.V.","50773216","+31475301538","0601060185"
"De Ruijterkade 5 Kelder Kvk","Amsterdam","1013AA","NL","1989-01-01","Vereniging Vrienden van de Leidse Schouwburg","40447680","","0522164605"
"Hofkampstraat 49 Unit 0.2","Almelo","7607NC","NL","2015-01-01","Imoveon","64701794","+31546232020","0602954352"
"Grote Heistraat 1 E","Wernhout","4884JA","NL","2009-01-01","Gommers Grondwerken B.V.","20147924","+31765974110","0600391902"
"Im Brühl 31","Gau-Algesheim","55435","NL","1999-01-01","Klaus Schmitt","","+3167254128","0452016133"
"Streek 47 A","Sintjohannesga","8464NC","NL","2018-01-01","Hyreco B.V.","71999639","+31513552558","0603813791"
"Markkaweg 2","Nieuw-Vennep","2153NB","NL","2019-01-01","Stichting Oneiroi","76554015","","0604362803"
"Installatieweg 8","Huizen","1271EM","NL","2006-01-01","Dornex B.V.","32116330","+31356409958","0525852628"
"Ferguutgaarde 3","Apeldoorn","7329BG","NL","2012-01-01","Marcel Timmerman - IT Consultancy","54227593","","0601503443"
"Korenbloemdreef          48","Harderwijk","3845KL","NL","2006-01-01","A.J. Klumpenaar","08224502","","0600910649"
"Dilweg 1","Odoorn","7873BN","NL","2001-01-01","High 5 Ballooning","04064622","+31591513467","0517479299"
"Eekhorstweg 21","Meppel","7942JC","NL","2017-01-01","Liftingplus B.V.","68412061","+31522820905","0603383569"
"1301 Fraser st Ste 102","Bellingham","98229","US","2015-01-01","Camin Cargo","","+1360-733-4001","0168107760"
"Fultonbaan 72 53","Nieuwegein","3439NE","NL","2010-01-01","Emo Multidiensten Vof","54936195","","0601588031"
"Van Schouwenburgstraat 7 201","Sneek","8607BX","NL","2021-01-01","Fearless Personal Training","81457073","","0604792966"
"Veldoven 8","IJsselmuiden","8271RT","NL","2016-01-01","Houtkacheldirect","64831760","+31382022455","0602970753"
"Hoorn 159","Alphen aan den Rijn","2404HH","NL","2007-01-01","Parts United B.V.","28116847","","0526350903"
"Oostzeestraat 2","Deventer","7411MD","NL","2022-01-01","Optimus B.V.","55779379","+31880701200","0601691490"
"Marktplein 262","Hoofddorp","2132CX","NL","2019-01-01","Juwelier de Haas B.V.","34040787","+31235614076","0518199578"
"Bovenkamp 5","Abcoude","1391LA","NL","2015-01-01","Venstrom B.V.","64453855","","0602916334"
"Van Gelderlaan 14","Hilversum","1215SK","NL","2020-01-01","Callinghe B.V.","32072891","+31356832111","0514623642"
"Van Speijkstraat 102","'s-Gravenhage","2518GG","NL","2011-01-01","Geoconstruct B.V.","65747534","","0603071142"
"Laan van Westenenk 4","Apeldoorn","7336AZ","NL","2008-01-01","Avio Advocatuur B.V.","08184787","","0600365063"
"Sleepboot 9","Houten","3991CN","NL","2023-01-01","Iza Accountants B.V.","30186901","+31306345660","0519533144"
"Bospolderstraat 15 A","Rotterdam","3025ES","NL","2015-01-01","Agnes Zorg B.V.","64421244","+31107470020","0602911684"
"Jaargetijdenlaan 100-102,  Internal Postal Box 30","Brussel","1050","BE","1966-01-01","Brussels Airlines","0400853488","+3227541900","0481128398"
"Gildenweg 119 B","Gorinchem","4204GE","NL","2011-01-01","Hagemeijer B.V.","52311511","+31183633008","0601249581"
"Hagemanstraat 70","'s-Gravenzande","2691WR","NL","2012-01-01","Dim-Col","56104782","","0601920202"
"Krommeweg 10","Elspeet","8075AZ","NL","1994-01-01","Westerbroek B.V.","08064017","+31577492043","0529933470"
"Pieter Calandlaan 258 A","Amsterdam","1069KW","NL","1958-01-01","Stichting Eigenwijks, Organisatie van Samenwerkende Wijkbewoners","41200785","+31203460670","0523108480"
"Heenweg 60","'s-Gravenzande","2691LE","NL","2012-01-01","Rmt-Airconditioning B.V.","54979439","+31174883178","0601593383"
"Jislumerdyk 15 A","Burdaard","9111HC","NL","2008-01-01","Lemaco B.V.","01127406","+31519333304","0600166082"
"Broersvest 109 B","Schiedam","3111EE","NL","2021-01-01","Sport & Ltu","83681035","","0605053734"
"Stapelovenweg 2","Helmond","5708JW","NL","2020-01-01","Trust Advocaten B.V.","77385519","+31404002828","0604455309"
"Heliumweg 34 A","Amersfoort","3812RE","NL","2003-01-01","Scantech-Id B.V.","34190873","+31334698400","0519742249"
"Piet Heinstraat 10","De Meern","3454XH","NL","2015-01-01","Qsento","64040712","","0602870220"
"Vrijkenstraat 17","Roggel","6088PA","NL","1985-01-01","Augustinus Interieur B.V.","13038595","+31475497122","0497477623"
"Willem Fenengastraat 19","Amsterdam","1096BL","NL","2010-01-01","Wetransfer B.V.","34380998","+31208100779","0600853848"
"Keizer Karelplein 32 K 2E Verdiep","Nijmegen","6511NH","NL","2019-01-01","Acteon Thuiszorg B.V.","76614182","+31243651630","0604358840"
"Argonstraat 3 A","Rijssen","7463PD","NL","2007-01-01","Sloof B.V.","08156758","+31548545236","0521088971"
"Burg Siepkenslaan 6","Rosmalen","5242BA","NL","2009-01-01","Bouwservice Rosmalen","17169505","+31735213384","0523990941"
"Schoutenbosch 27","Castricum","1901PA","NL","2014-01-01","Schulenberg Schilderwerken","60462671","","0602444189"
"Horsterhoekweg 9","Schalkhaar","7433SV","NL","2006-01-01","Stichting Sportvoorziening Schalkhaar","08147200","+31570623512","0525718712"
"Koninginnegracht 22","'s-Gravenhage","2514AB","NL","2002-01-01","Jacarie B.V.","27250016","+31707113106","0518537385"
"Hornleger 9 A","Oosterwolde FR","8431HL","NL","2017-01-01","Dijko B.V.","01072591","+31516514522","0531018229"
"De Amert 420","Veghel","5462GH","NL","2023-01-01","Skyclean B.V.","16087753","+31413366888","0498513617"
"Ohmweg 12","Stadskanaal","9503GW","NL","1995-01-01","Hoving Holland B.V.","02332712","+31599613390","0600130327"
"Avervoordseweg 36 A","Terwolde","7396PE","NL","2004-01-01","Muvama B.V.","09147623","","0524325783"
"Ramstraat 41 B","Utrecht","3581HG","NL","2016-01-01","Chapeau Artiesten","65875192","","0603090485"
"Wattstraat 9","Sneek","8606JX","NL","2019-01-01","Jkb Projects B.V.","71907815","","0603802552"
"Dorpsstraat 24","Enumatil","9812PL","NL","2022-01-01","Ethera Cosmetics","85201545","","0605234139"
"Jansdam 3","Utrecht","3512HA","NL","2020-01-01","Mick O'Connells B.V.","77865081","+31302368466","0604512658"
"Parklaan 38","Woudenberg","3931KK","NL","2016-01-01","J Music & More","65824466","","0603084629"
"Esplanade 23","Hellevoetsluis","3221LW","NL","2008-01-01","Tivano B.V.","24448481","","0600374538"
"Fred. Roeskestraat 115","Amsterdam","1076EE","NL","2020-01-01","Creative Capital Studio B.V.","80250343","","0604641121"
"Grote Wittenburgerstraat 270","Amsterdam","1018LJ","NL","2007-01-01","Beeldend Vermogen","34329903","+31206387898","0600461827"
"Dorpstraat 1 A","Riel","5133AD","NL","2023-01-01","Digital-Ink","92276806","","0606067197"
"Aalsmeerderdijk 452","Aalsmeerderbrug","1436BM","NL","2019-01-01","Demigo","76217809","","0604320437"
"Derde Haren 50","'s-Hertogenbosch","5233CG","NL","2021-01-01","Hoogstad Netwerk en Domotica","83814752","","0605071082"
"Westervoortsedijk 73 KB","Arnhem","6827AV","NL","2014-01-01","Stichting Elaadnl","61211516","+31263120223","0602530822"
"Zingerskamp 15","Laren NH","1251PJ","NL","2015-01-01","Paleo-Lifestyle","63876108","","0602850118"
"Brouwer 1","Someren","5711LD","NL","2016-01-01","Broviand B.V.","66378710","+31493496248","0603143072"
"Kanaalpark 140","Leiden","2321JV","NL","2004-01-01","Innofra B.V.","28096989","+31715665305","0519557127"
"Breukersweg 9","Goor","7471ST","NL","2012-01-01","Regge Hout B.V.","56172486","+31547286350","0601922664"
"Lipperkerkstraat 43","Enschede","7511CT","NL","1922-01-01","Nijmeijer Interieur","06010336","+31534323925","0514495023"
"Jonagoldstraat 101","Nijmegen","6515EN","NL","2001-01-01","Vereniging van Eigenaars Appartementencomplex Groenestraat Woonpark Oosterhout","09213827","","0600780012"
"Lookhof 22","Angeren","6687DD","NL","2021-01-01","Nexxt Industry B.V.","82970742","+31850601311","0604964757"
"Dorpsstraat 92","Afferden L","5851AL","NL","2021-01-01","Coaching 't Verschil","84614765","","0605167034"
"Geestdorp 22","Woerden","3444BD","NL","2005-01-01","Boer Kaashandel B.V.","30149915","+31348411211","0513915256"
"Swalmerstraat 104","Roermond","6041CZ","NL","2013-01-01","Ren-It B.V.","58617329","+31475796548","0602219953"
"Eiffelstraat 60","Zwolle","8013RT","NL","2018-01-01","Expedient B.V.","71374302","+31388200060","0603738677"
"Waterspiegelplein 10 F","Amsterdam","1051PB","NL","2008-01-01","Meester Ontwerpers B.V.","34300887","+31206244777","0600221736"
"Pijperhof 44","Alphen aan den Rijn","2402TZ","NL","2023-01-01","Jvl Trading","88801489","","0605655378"
"Atoomweg 63","Utrecht","3542AA","NL","2017-01-01","Transition Experts B.V.","50221469","+31854872900","0600982389"
"Baanstpoldersedijk 6","Nieuwvliet","4504PT","NL","2002-01-01","Camping Schippers B.V.","21011886","+31117371250","0516182420"
"Chromiumweg 21","Amersfoort","3812NL","NL","2006-01-01","Ham Motorsport","32116333","","0525852652"
"Eigen Haard 37","Balk","8561EX","NL","1963-01-01","W. Nicolay B.V.","01051612","+31514604353","0520385079"
"Stationsweg 1","Ommen","7731AW","NL","1938-01-01","Ekkelenkamp Ommen B.V.","05063776","+31529451782","0514839034"
"Bernhardstraat 4","Leiderdorp","2351GG","NL","1998-01-01","Tomis B.V.","28080754","","0514411527"
"Oslo 19","Barendrecht","2993LD","NL","2016-01-01","Finami B.V.","24447481","+31180556157","0600362176"
"Volendamstraat 28","Emmeloord","8304CB","NL","1995-01-01","De Munnik Beheer B.V.","39030972","+31527613845","0514452948"
"Gustav Mahlerlaan 1212","Amsterdam","1081LA","NL","2021-01-01","Beex Real Estate B.V.","84616784","","0605156487"
"Hollandse Hout 394","Lelystad","8244GR","NL","2011-01-01","F.M.C.G. Balansbureau B.V.","39082710","+31320260702","0519799001"
"Lange Meent 13","Everdingen","4121KM","NL","2001-01-01","Esl-Agri","11050935","+31347352128","0517527601"
"Gastelseweg 96","Roosendaal","4705AC","NL","2004-01-01","Verhoeven-Van Erp B.V.","20115199","+31165568307","0523561109"
"Nassauplein 23","Haarlem","2011PG","NL","2021-01-01","Mnb Advies","84137266","+31206756792","0605107246"
"Pannekoekstraat 89 A","Rotterdam","3011LD","NL","2011-01-01","Louen","51984636","+31104144116","0601207259"
"Prins de Lignestraat 32","Geleen","6161CZ","NL","2004-01-01","Finatics","14108136","+31464008885","0600373740"
"Piet Heinstraat 7","Barendrecht","2992BM","NL","2022-01-01","Kraaijeveld Transport B.V.","86102281","","0605337327"
"Haag en Veld 170","Amsterdam","1102GH","NL","2008-01-01","Vernon's Hairstyling","34289832","","0600119251"
"Hoorn 12","Ede Gld","6713KR","NL","2003-01-01","Ciass Ede B.V.","09133340","+31318692827","0519396327"
"Wethouder Schonepad 1","Blaricum","1261NM","NL","2018-01-01","Leeuwangh Tandartsen B.V.","71016546","+31355250506","0603692986"
"Fregat 52","Lemmer","8531AH","NL","2015-01-01","Jvdm Services","62172395","","0602649087"
"Bijsterhuizen 3163","Wijchen","6604LV","NL","2023-01-01","Intermedica B.V.","09122766","+31247111036","0517739916"
"Theo Mann-Bouwmeesterln 518","'s-Gravenhage","2597HK","NL","2013-01-01","S. Beltgens, Docent","57699445","+31702135859","0602109186"
"Cornelis van der Lijnstr 87","'s-Gravenhage","2593NE","NL","2020-01-01","3Dventure","80897037","","0604727731"
"Begijnenstraat 36","Nijmegen","6511WP","NL","2015-01-01","Een Deur!","63390205","","0602790561"
"Kwekerijweg 2 A","Zeist","3709JA","NL","2017-01-01","Brainnetwork","69690162","","0603546099"
"Zuidwal 27","Arnemuiden","4341CG","NL","2008-01-01","Tegelzetbedrijf Cor de Ridder","20140549","+31118603196","0600223666"
"Breudijk 37","Harmelen","3481LN","NL","2011-01-01","Vhb B.V.","52176940","","0601232486"
"Piet Heinstraat 108","Maarssen","3601TB","NL","2017-01-01","Wtn International B.V.","60549890","","0602454642"
"Piet Smitkade 288","Rotterdam","3077MJ","NL","2014-01-01","Citybeacon B.V.","62089366","","0602639172"
"Van Emstweg 9 A","Appelscha","8426BR","NL","2007-01-01","Hoogeveen Stoffeerbedrijf","01118593","+31516432266","0498126737"
"Lange Aventuurseweg 1","Culemborg","4107LW","NL","2013-01-01","Natuurlijk Avontuurlijk B.V.","57244960","+31345533880","0602054790"
"Hoge Steenweg 101","Loon op Zand","5175AH","NL","2003-01-01","Wok of King","18073069","+31416361946","0600624779"
"Merwestraat 19","Sliedrecht","3361HK","NL","2002-01-01","Van Bekkum Bouwbedrijf B.V.","23042322","+31184490808","0516371922"
"Wilgenroos 33","Hoeven","4741JJ","NL","2007-01-01","Addirco Bouwburo B.V.","20126953","+31165508079","0520087131"
"Snekerveste 7","Nieuwegein","3432RB","NL","2010-01-01","Big Smile Fireworks","30278263","+31306090849","0600784601"
"Vijzelgracht 53 A","Amsterdam","1017HP","NL","2014-01-01","Polarsteps B.V.","61821578","","0602606542"
"Dorpsstraat 103","Zieuwent","7136LJ","NL","2015-01-01","Car Parts Oost B.V.","63646749","+31544760007","0602820942"
"Steenwycklaan            10","De Kwakel","1424NL","NL","2011-01-01","Stukadoorsbedrijf D. Weyt","53084314","","0601344738"
"Lange Voort 41","Oegstgeest","2343CB","NL","2019-01-01","Brakenhoff Optiek B.V.","74788574","+31715171665","0604144062"
"Kanaalstraat 8","Liessel","5757RP","NL","2015-01-01","Events 2 Enjoy","92468667","","0606087333"
"Weststraat 10","Ouddorp ZH","3253AR","NL","1995-01-01","Van der Bok Schoenen","23028715","+31187681544","0516311878"
"Hoogstraat 5","Gastel","6028RV","NL","2018-01-01","JK Store B.V.","73388645","+31495497554","0603981900"
"De Slof 1","Dongen","5107RH","NL","2021-01-01","Mobiliteitscentrum Je-Es B.V.","83246398","+31162371397","0604990853"
"Piet Heinstraat 77","Hengelo OV","7556XT","NL","1999-01-01","Groepspraktijk ED Wender B.V.","51406675","+31884547700","0605256036"
"Bastion 38","Veldhoven","5509MJ","NL","2021-01-01","Linden Accountants B.V.","17067761","+31402941888","0524840348"
"Pieter Zeemanstraat 6","Sneek","8606JR","NL","2002-01-01","Hubert Beheer B.V.","01072569","+31517496100","0531018015"
"Oudhuizerstraat 31","Klarenbeek","7382BS","NL","2013-01-01","Akos B.V.","08037027","+31555412412","0514814287"
"'t Veld 8 C","Annen","9468GS","NL","1927-01-01","Kamps B.V.","04004110","+31592241239","0514268526"
"Duivendrechtsekade 85 B Dam","Amsterdam","1096AJ","NL","2020-01-01","Overhaus Ontwerp-Concept & Communicatie","76785319","+31205606030","0604386372"
"Hannie Dankbaarpassage 16","Amsterdam","1053RT","NL","2015-01-01","Bulls and Dogs B.V.","63538210","","0602808155"
"Laapersveld 75 Kamer b0.01","Hilversum","1213VB","NL","2001-01-01","Efuture B.V.","30174751","+31355311115","0517673636"
"Rietbeemdweg 1 B","Helmond","5705BH","NL","2001-01-01","Motis B.V.","17064676","+31492549455","0523965295"
"Papiermolenlaan 3 9","Groningen","9721GR","NL","2015-01-01","Marten Duit Fotografie","63408910","","0602796650"
"Hertzweg 1","Alblasserdam","2952BA","NL","1996-01-01","Information Makers B.V.","24196360","+31102880568","0527064441"
